frame,fps,det_ms,ocr_ms,total_ms
0,0.643460011413914,1316.1861896514893,98.53053092956543,1554.098129272461
1,10.669814296616638,11.697053909301758,19.154071807861328,49.223899841308594
2,10.39583601844049,10.087728500366211,19.94633674621582,46.779632568359375
3,12.670503188542394,7.727622985839844,20.091772079467773,47.402381896972656
4,13.525475324407296,7.528781890869141,19.974708557128906,46.3557243347168
5,13.75907938288736,8.612871170043945,20.122051239013672,46.540021896362305
6,13.317702942129026,8.061408996582031,21.065950393676758,48.70033264160156
7,13.568749494524692,8.27336311340332,21.390676498413086,47.79362678527832
8,10.9898939083089,10.234594345092773,20.98226547241211,49.36552047729492
9,10.52472780469689,8.49771499633789,29.41417694091797,55.55868148803711
10,8.22051491109787,10.385274887084961,55.51767349243164,80.9173583984375
11,10.28741856997096,9.057283401489258,31.3570499420166,57.07907676696777
12,12.209745546851575,8.0413818359375,19.912004470825195,44.132232666015625
13,7.4067538907362245,9.436368942260742,34.80696678161621,95.57890892028809
14,12.30051673675752,8.650541305541992,20.55811882019043,45.54915428161621
15,12.139036009284503,7.791042327880859,20.74456214904785,45.8526611328125
16,10.703741699714689,7.689714431762695,32.2880744934082,57.1284294128418
17,12.451437273825675,8.554935455322266,20.479202270507812,46.66423797607422
18,12.121179894286929,10.110139846801758,19.364118576049805,45.90415954589844
19,11.925834307177444,8.06117057800293,20.721912384033203,46.478986740112305
20,11.1411374080272,7.751941680908203,26.907682418823242,53.238868713378906
21,13.105766556782852,8.035898208618164,12.720346450805664,40.11678695678711
22,12.34461161733889,8.428335189819336,13.780355453491211,39.32809829711914
23,12.774387291106393,7.803678512573242,11.364221572875977,37.45603561401367
24,12.617483905902173,10.370969772338867,12.260913848876953,41.53728485107422
25,11.834542848436284,8.170127868652344,21.8355655670166,49.36075210571289
26,11.20710533487952,8.16798210144043,27.49800682067871,53.25722694396973
27,11.892290985593622,8.199930191040039,20.784616470336914,47.43313789367676
28,10.07950552962833,7.861614227294922,35.16697883605957,61.200618743896484
29,12.288516021668878,8.737325668334961,18.537282943725586,44.38304901123047
30,11.631007115641655,7.818460464477539,23.829221725463867,49.32594299316406
31,12.158283933618378,9.86027717590332,19.03057098388672,45.93920707702637
32,11.70086564507715,8.728981018066406,20.77770233154297,46.32091522216797
33,12.432061367368352,8.593082427978516,19.917726516723633,46.221256256103516
34,11.822134030846938,8.218765258789062,22.708415985107422,47.091007232666016
35,11.747664781686847,8.321046829223633,22.585391998291016,47.9123592376709
36,11.012342696909469,8.800506591796875,29.591798782348633,55.76634407043457
37,11.556148229783716,8.053302764892578,23.224592208862305,49.16501045227051
38,11.268376950128822,8.33272933959961,29.95586395263672,54.9623966217041
39,9.079798587689258,8.61668586730957,25.802969932556152,78.12190055847168
40,8.502662717695163,8.933067321777344,29.35636043548584,83.61434936523438
41,9.282740091050131,8.435964584350586,24.586915969848633,74.69463348388672
42,7.588588632054306,8.281707763671875,23.151477177937824,95.68476676940918
43,7.675858484557892,9.777307510375977,22.845109303792317,97.16987609863281
44,9.582709420943807,8.461713790893555,22.823214530944824,71.40517234802246
45,9.79586193366669,7.809877395629883,21.802783012390137,68.37606430053711
46,8.669159334379179,7.637262344360352,27.877092361450195,82.0455551147461
47,12.759736427411063,7.616996765136719,20.827293395996094,45.59659957885742
48,12.144343329347281,8.079767227172852,22.01080322265625,48.22087287902832
49,11.784036793648207,7.590055465698242,21.48914337158203,46.51641845703125
50,12.688710467881194,8.080005645751953,21.938085556030273,45.86982727050781
51,11.122436045324488,8.09931755065918,31.15677833557129,56.21528625488281
52,11.839019075415353,8.531808853149414,23.499250411987305,50.65608024597168
53,12.164278360232595,7.939338684082031,22.174835205078125,49.7441291809082
54,11.777088288065682,8.06570053100586,22.5527286529541,50.3697395324707
55,12.050416160292821,8.907556533813477,24.299144744873047,50.14610290527344
56,12.10100170798135,7.574558258056641,22.82261848449707,48.40731620788574
57,11.7750714482232,8.60595703125,24.835824966430664,51.879167556762695
58,12.224050548060585,8.398056030273438,23.58245849609375,49.369096755981445
59,12.317205248381905,8.662223815917969,22.3388671875,47.559261322021484
60,12.382623071813418,7.48443603515625,21.834135055541992,46.848297119140625
61,11.466143975243234,8.002758026123047,23.103952407836914,49.51214790344238
62,12.10194442280448,8.204936981201172,21.977663040161133,50.07624626159668
63,12.041248478445603,7.0343017578125,24.293184280395508,50.41003227233887
64,11.927326498983378,8.72492790222168,23.41175079345703,48.70414733886719
65,12.050069956589565,8.957624435424805,23.9255428314209,49.314022064208984
66,11.695971400765732,8.815526962280273,25.15411376953125,51.34177207946777
67,11.452305995232647,8.010387420654297,23.652315139770508,49.39532279968262
68,11.641692780397632,7.546901702880859,24.42622184753418,51.39613151550293
69,12.066224212976149,7.124423980712891,23.151397705078125,50.03046989440918
70,12.143393997649088,7.956266403198242,24.00803565979004,48.519134521484375
71,11.98673952308009,9.253978729248047,23.45108985900879,50.56619644165039
72,11.71701302075331,7.667064666748047,23.316621780395508,50.41670799255371
73,10.366519113892451,8.282184600830078,24.32727813720703,59.804677963256836
74,12.026367778322566,8.507966995239258,24.703025817871094,50.11296272277832
75,11.478978625578149,8.592367172241211,26.52287483215332,53.65943908691406
76,10.980715763018038,8.884906768798828,28.795719146728516,56.534528732299805
77,11.523066441020681,9.649038314819336,26.84187889099121,52.54340171813965
78,11.261781187153801,9.254932403564453,26.60512924194336,52.3829460144043
79,11.581740062074068,7.9059600830078125,27.007102966308594,53.06291580200195
80,11.299127708065063,9.018898010253906,25.979042053222656,53.124189376831055
81,11.692417484388939,8.847951889038086,26.9777774810791,53.39312553405762
82,11.1982485649446,8.771896362304688,27.802467346191406,52.7653694152832
83,11.65725593520881,7.866144180297852,26.630640029907227,52.06012725830078
84,10.980227075790538,8.377313613891602,28.249025344848633,55.267333984375
85,11.022268940687988,8.17108154296875,27.14252471923828,52.805185317993164
86,11.493794513302952,7.750988006591797,28.713226318359375,53.339481353759766
87,10.796871862724403,9.064435958862305,33.25366973876953,59.723615646362305
88,17.25766951942067,7.623910903930664,0,23.88739585876465
89,17.507780671876045,7.033824920654297,0,24.111270904541016
90,17.178857692859044,7.583379745483398,0,23.78082275390625
91,15.47719364278097,6.850481033325195,0,24.65987205505371
92,16.68889834993216,6.853342056274414,0,24.385929107666016
93,16.319233043857192,8.575439453125,0,26.449918746948242
94,16.319487027843056,8.517026901245117,0,26.4129638671875
95,17.14402965857487,6.9599151611328125,0,23.96559715270996
96,16.568257140938485,7.416963577270508,0,26.022911071777344
97,15.502879319903899,8.430242538452148,0,25.73680877685547
98,7.980258188494725,10.13636589050293,62.433719635009766,92.65279769897461
99,11.90606415864518,34.063100814819336,0,49.86739158630371
100,9.625372055398103,49.73936080932617,0,67.71016120910645
101,12.170384642169038,30.417442321777344,0,49.05509948730469
102,12.632037995765533,28.411149978637695,0,46.16045951843262
103,6.693974742211277,30.89118003845215,65.06490707397461,114.79973793029785
104,6.136302655506837,41.77570343017578,66.18332862854004,127.25591659545898
105,6.5224857049107925,35.53175926208496,62.569618225097656,115.30470848083496
106,6.0360032868937274,27.304887771606445,87.58735656738281,131.17218017578125
107,6.824001041259924,32.40036964416504,60.916900634765625,111.70840263366699
108,7.593672036528093,24.034500122070312,52.25038528442383,96.12631797790527
109,7.223637528503228,29.886960983276367,51.37801170349121,99.22504425048828
110,7.261543788575238,25.77829360961914,61.86532974243164,103.14464569091797
111,13.040733013919677,8.38160514831543,17.4562931060791,42.844295501708984
112,11.127009561000456,8.173942565917969,26.714801788330078,53.487539291381836
113,12.713749192944594,9.078741073608398,18.355131149291992,44.68894004821777
114,13.147876242124072,8.481264114379883,17.256736755371094,41.49746894836426
115,13.136634271163826,8.440732955932617,16.765356063842773,42.20175743103027
116,13.176086225799256,7.972002029418945,18.174409866333008,42.217254638671875
117,13.026800217408184,7.678031921386719,17.349958419799805,41.86081886291504
118,12.640146583731134,7.783412933349609,18.661022186279297,45.02105712890625
